ID_INMUEBLE,ID _ESTADO,ESTADO,OPERACION_ORIGEN,VALOR_CATASTRAL,TITULO_PROPIEDAD
29,13,Hidalgo,Compra no genera póliza solo se registra la alta,7699978.47,"Escritura Pública número 3723, Volumen 77, Folio 15,372 de fecha 10 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
30,13,Hidalgo,Compra no genera póliza solo se registra la alta,3413639.27,"Escritura Pública número 3697, Volumen 76, Folio 15,153 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
31,13,Hidalgo,Compra no genera póliza solo se registra la alta,8061521.01,"Escritura Pública número 3658, Volumen 75, Folio 14,838 de fecha 6 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
32,13,Hidalgo,Compra no genera póliza solo se registra la alta,8513889.1,"Escritura Pública número 3661, Volumen 75, Folio 14,862 de fecha 6 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
33,13,Hidalgo,Compra no genera póliza solo se registra la alta,9180985.3,"Escritura Pública número 3724, Volumen 77, Folio 15,380 de fecha 10 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
34,13,Hidalgo,Compra no genera póliza solo se registra la alta,4646795.7,"Escritura Pública número 3779, Volumen 79, Folio 15,714 de fecha 1 de julio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
35,13,Hidalgo,Compra no genera póliza solo se registra la alta,12108265.31,"Escritura Pública número 3679, Volumen 75, Folio 15,001 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
36,13,Hidalgo,Compra no genera póliza solo se registra la alta,4579448.74,"Escritura Pública número 3672, Volumen 75, Folio 14,952 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
37,13,Hidalgo,Compra no genera póliza solo se registra la alta,8983362.22,"Escritura Pública número 3654, Volumen 75, Folio 14,809 de fecha 2 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
38,13,Hidalgo,Compra no genera póliza solo se registra la alta,18087597.19,"Escritura Pública número 3715, Volumen 75, Folio 15,289 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
39,13,Hidalgo,Compra no genera póliza solo se registra la alta,12226710.4,"Escritura Pública número 3674, Volumen 75, Folio 14,967 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
40,13,Hidalgo,Compra no genera póliza solo se registra la alta,18093186.98,"Escritura Pública número 3809, Volumen 80, Folio 15,873 de fecha 21 de julio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
41,13,Hidalgo,Compra no genera póliza solo se registra la alta,2246520.81,"Escritura Pública número 3663, Volumen 75, Folio 14,878 de fecha 6 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
42,13,Hidalgo,Compra no genera póliza solo se registra la alta,1717972.99,"Escritura Pública número 3696, Volumen 76, Folio 15,145 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
43,13,Hidalgo,Compra no genera póliza solo se registra la alta,1701848.64,"Escritura Pública número 3677, Volumen 75, Folio 14,991 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
44,13,Hidalgo,Compra no genera póliza solo se registra la alta,2125927.23,"Escritura Pública número 3687, Volumen 76, Folio 15,069 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
45,13,Hidalgo,Compra no genera póliza solo se registra la alta,11741802.63,"Escritura Pública número 3689, Volumen 76, Folio 15,085 de fecha 6 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
46,13,Hidalgo,Compra no genera póliza solo se registra la alta,9214688.93,"Escritura Pública número 3690, Volumen 76, Folio 15,093 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
47,13,Hidalgo,Compra no genera póliza solo se registra la alta,205820.24,"Escritura Pública número 3749, Volumen 78, Folio 15,515 de fecha 26 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
48,13,Hidalgo,Compra no genera póliza solo se registra la alta,335503.67,"Escritura Pública número 3751, Volumen 78, Folio 15,531 de fecha 26 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
49,13,Hidalgo,Compra no genera póliza solo se registra la alta,376519.26,"Escritura Pública número 3762, Volumen 79, Folio 15,609 de fecha 26 de junio de 2017,protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
50,13,Hidalgo,Compra no genera póliza solo se registra la alta,763817.63,"Escritura Pública número 3764, Volumen 79, Folio 15, 625 de fecha 26 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
