ID_INMUEBLE,INSTITUCIÓN_A_CARGO_DEL_INMUEBLE,TITULO_PROPIEDAD
37,Oficialía Mayor,"Escritura Pública número 3654, Volumen 75, Folio 14,809 de fecha 2 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
38,Oficialía Mayor,"Escritura Pública número 3715, Volumen 75, Folio 15,289 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
39,Oficialía Mayor,"Escritura Pública número 3674, Volumen 75, Folio 14,967 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
40,Oficialía Mayor,"Escritura Pública número 3809, Volumen 80, Folio 15,873 de fecha 21 de julio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
41,Oficialía Mayor,"Escritura Pública número 3663, Volumen 75, Folio 14,878 de fecha 6 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
42,Oficialía Mayor,"Escritura Pública número 3696, Volumen 76, Folio 15,145 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
43,Oficialía Mayor,"Escritura Pública número 3677, Volumen 75, Folio 14,991 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
44,Oficialía Mayor,"Escritura Pública número 3687, Volumen 76, Folio 15,069 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
45,Oficialía Mayor,"Escritura Pública número 3689, Volumen 76, Folio 15,085 de fecha 6 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
46,Oficialía Mayor,"Escritura Pública número 3690, Volumen 76, Folio 15,093 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
47,Oficialía Mayor,"Escritura Pública número 3749, Volumen 78, Folio 15,515 de fecha 26 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
48,Oficialía Mayor,"Escritura Pública número 3751, Volumen 78, Folio 15,531 de fecha 26 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
49,Oficialía Mayor,"Escritura Pública número 3762, Volumen 79, Folio 15,609 de fecha 26 de junio de 2017,protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
50,Oficialía Mayor,"Escritura Pública número 3764, Volumen 79, Folio 15, 625 de fecha 26 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
51,Oficialía Mayor,"Escritura Pública número 3763, Volumen 79, Folio 15,617 de fecha 26 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
52,Oficialía Mayor,"Escritura Pública número 3750, Volumen 78, Folio 15,523 de fecha 26 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
53,Oficialía Mayor,Escritura Pública número 3675 de fecha 8 de junio de 2017.
54,Oficialía Mayor,Escritura Pública número 3668 de fecha 7 de junio de 2017.
55,Oficialía Mayor,"Escritura Pública número 3676 de fecha 8 de junio de 2017, inscrita bajo el número 997, Tomo I, Libro I, Sección I de fecha 26 de junio de 2017."
56,Oficialía Mayor,"Escritura Pública número 3795 de fecha 13 de julio de 2017, inscrita bajo el número 1163, Tomo I, Libro I, Sección I de fecha 14 de julio de 2017"
57,Oficialía Mayor,Escritura Pública número 3680 de fecha 8 de junio de 2017.
58,Oficialía Mayor,Escritura Pública número 3722 de fecha 8 de junio de 2017.
