ID_INMUEBLE,ID _ESTADO,ESTADO,DENOMINACIÓN_INMUEBLE,NOMBRE_VIALIDAD,TIPO_ASENTAMIENTO,NATURALEZA_INMUEBLE,TIPO_INMUEBLE,USO_INMUEBLE
50,13,Hidalgo,"Parcela 203, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
51,13,Hidalgo,"Parcela 204, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
52,13,Hidalgo,"Parcela 205, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
53,13,Hidalgo,Parcela 61 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
54,13,Hidalgo,Parcela 68 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
55,13,Hidalgo,Parcela 69 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
56,13,Hidalgo,"Parcela 71, Ejido Acopinalco",Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
57,13,Hidalgo,Parcela 72 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
58,13,Hidalgo,Parcela 80 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
59,13,Hidalgo,Parcela 81 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
60,13,Hidalgo,Parcela 84 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
61,13,Hidalgo,Pacela 85 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
62,13,Hidalgo,Parcel 86 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
63,13,Hidalgo,Parcela 96 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
64,13,Hidalgo,Parcela 100 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
65,13,Hidalgo,Parcela 105 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
66,13,Hidalgo,Parcela 112 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
67,13,Hidalgo,Parcela 113 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
68,13,Hidalgo,Parcela 124 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
69,13,Hidalgo,Parcela 125 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
70,13,Hidalgo,Parcela 126 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
71,13,Hidalgo,Parcela 127 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
72,13,Hidalgo,Parcela 128 del Ejido Aopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
73,13,Hidalgo,Parcela 129 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
74,13,Hidalgo,Parcela 130 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
75,13,Hidalgo,"Parcela 131, Ejido Acopinalco",Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
76,13,Hidalgo,"Parcela 132, Z 6 P1/2 del Ejido Acopinalco",Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
77,13,Hidalgo,"Parcela 133, Ejido de Acopinalco",Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
78,13,Hidalgo,Parcela 31 Z1 P 1/2 Ejido Tepetates,Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
79,13,Hidalgo,Parcela 32 Z1 P 1/2 Ejido Tepetates,Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
80,13,Hidalgo,Parcela 33 Z1 P 1/2 Ejido Tepetates,Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
81,13,Hidalgo,Parcela 29 Z1 P 1/2 Ejido Tepetates,Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
82,13,Hidalgo,Parcela 30 Z1 P 1/2 Ejido Tepetates,Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
83,13,Hidalgo,Parcela 27 Z1 P 1/2 Ejido Tepetates,Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
84,13,Hidalgo,Parcela 28 Z1 P 1/2 Ejido Tepetates,Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
85,13,Hidalgo,Parcela 43 Z1 P 1/2 Ejido Tepetates,Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
86,13,Hidalgo,Parcela 44 Z1 P 1/2 Ejido Tepetates,Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
87,13,Hidalgo,Parcela 45 Z1 P 1/2 Ejido Tepetates,Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
88,13,Hidalgo,Parcela 93 Z1 P 1/2 Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
89,13,Hidalgo,Áreas en Fracciónamiento Los Ángeles,Circuito Girasoles,Colonia,Urbana,Terreno,5 áreas verdes y canchas de usos múltiples
90,13,Hidalgo,Áreas en Fracciónamiento Los Atlantes B34,Chimalman,Barrio,Urbana,Terreno,Vivero Municipal
91,13,Hidalgo,Áreas en Fracciónamiento Chesterton,Principal La Bolsa,Pueblo,Urbana,Terreno,Baldío
92,13,Hidalgo,Áreas en Fracciónamiento Villas de Atitalaquia,Manzanillo,Barrio,Urbana,Terreno,Baldío
93,13,Hidalgo,Lotes en Fracciónamiento Villas de Atitalaquia,"Puerto Ángel Manzana 3, Lotes 69 al 73",Unidad habitacional,Urbana,Terreno,Baldío
94,13,Hidalgo,Predio Urbano Los Arcos,Uno,Unidad habitacional,Urbana,Edificación,Escuela Secundaria General número 2 Atotonilli
95,13,Hidalgo,Áreas en Fracciónamiento Praderas del Potrero,Rayo Velóz y Tajo de Nochistongo,Unidad habitacional,Urbana,Edificación,Jardín de Niños Francisco I. Madero.
96,13,Hidalgo,Áreas en Fracciónamiento Sharon,Tajo de Nochistongo,Unidad habitacional,Urbana,Terreno,Baldío
97,13,Hidalgo,Áreas en Fracciónamiento Sendero del Pedregal,Domicilio conocido,Unidad habitacional,Urbana,Terreno,"Jardín de Niños Bertha Von Glumer Leyva, Escuela Primaria Senderos del Pedregal, Planta de Ósmosis inversa para tratamiento de agua, tanque cisterna de agua potable y pozo de agua potable, cancha de usos Múltiples."
98,13,Hidalgo,Áreas en Fracciónamiento Paseos de La Pradera,Domicilio conocido,Unidad habitacional,Urbana,Terreno,"Primaria Lázaro Cárdenas,  Secundaria Técnica número 65"
99,13,Hidalgo,Áreas en Fracciónamiento La Toscana,Domicilio conocido,Unidad habitacional,Urbana,Terreno,Planta de Tratamiento de Aguas Residuales
100,13,Hidalgo,Área 1-A del Fracciónamiento La Toscana ,Domicilio conocido,Fraccionamiento,Urbana,Terreno,Baldío
101,13,Hidalgo,Área 2-A del Fracciónamiento La Toscana ,Domicilio conocido,Fraccionamiento,Urbana,Terreno,Baldío
102,13,Hidalgo,Área 4-A del Fracciónamiento La Toscana ,Domicilio conocido,Fraccionamiento,Urbana,Terreno,Baldío
103,13,Hidalgo,Área 5-A del Fracciónamiento La Toscana ,Domicilio conocido,Fraccionamiento,Urbana,Terreno,Baldío
104,13,Hidalgo,Área 8-A del Fracciónamiento La Toscana ,Domicilio conocido,Fraccionamiento,Urbana,Terreno,Baldío
105,13,Hidalgo,Predio Urbano El Boxfi,Jacarandas esquina Calle Xoyatla,Barrio,Urbana,Terreno,Centro de Asistencia Infantil Comunitario
106,13,Hidalgo,Predio La Cañada,Domicilio conocido,Ejido,Rústica,Edificación,Obras complementarias del sistema de drenaje profundo.
107,13,Hidalgo,Predio Casa Y Solar,López Mateos,Colonia,Rústica,Terreno,Baldío
108,13,Hidalgo,Predio Rústico Almequexpa,Domicilio conocido,Pueblo,Rústica,Terreno,Baldío
109,13,Hidalgo,Finca Urbana Cardonal,Benito Juárez y Rojo Gómez,Pueblo,Rústica,Edificación,Casa Habitación
110,13,Hidalgo,Una fracción del Predio Urbano Sin Nombre,Guadalupe,Barrio,Urbana,Terreno,Baldío
111,13,Hidalgo,Predio La Fortuna,localidad La Loma,Pueblo,Rústica,Terreno,"ISSSTE No se ha construido, terreno enmontado."
112,13,Hidalgo,Predio Rústico La Joya,Carretera Chapulhuacán-La Loma,Ranchería,Rústica,Terreno,"Casas habitación, Asentamientos Humanos."
113,13,Hidalgo,Predio Rústico La Unión,Hidalgo,Colonia,Rústica,Terreno,Baldío
114,13,Hidalgo,Predio Rústico Potrero de Almoloya,Sin nombre,Ranchería,Rústica,Edificación,Caseta y Antena de Repetición perteneciente al C-4
115,13,Hidalgo,Predio Urbano La Cañada,Domicilio conocido,Pueblo,Urbana,Terreno,Baldío
116,13,Hidalgo,Predio Rústico El Mexe,Domicilio conocido,Colonia,Rústica,Terreno,"Vívero, Parcela"
117,13,Hidalgo,Predio Rústico El Tapanco,Domicilio conocido,Ranchería,Rústica,Terreno,Baldío
118,13,Hidalgo,Predio Rústico El Chepito,Domicilio conocido,Ranchería,Rústica,Terreno,Baldío
119,13,Hidalgo,Áreas en Fracciónamiento Bosque Real de Huasca,Domicilio conocido,Rancho,Rústica,Terreno,Baldío
120,13,Hidalgo,Dos Predios Rústico Sin Nombre,Domicilio conocido,Rancho,Rústica,Terreno,Baldío
121,13,Hidalgo,Predio Rústico Linda Vista,Domicilio conocido,Barrio,Rústica,Terreno,Baldío
122,13,Hidalgo,Predio Rústico Las Palomas,Luis Donaldo Colosio,Barrio,Rústica,Terreno,"Existen casas habitación, Asentamientos Humanos"
123,13,Hidalgo,Predio Urbano Adolfo López Mateos,Adolfo López Mateos esquina Jacarandas,Colonia,Urbana,Edificación,"Oficinas de la Subsecretaría de Gobierno en la Huasteca, Agencia del Ministerio Público, Oficinas y Radiodifusora, Áreas desocupadas."
124,13,Hidalgo,Predio Urbano Javier Rojo Gómez,Javier Rojo Gómez,Colonia,Urbana,Edificación,Oficinas de la Dirección de Transporte Convencional
125,13,Hidalgo,Predio Urbano Tetzacuatl,Tetzacuatl,Ranchería,Urbana,Edificación,Escuela Telesecundaria número 757
126,13,Hidalgo,Áreas en Fracciónamiento Marcelo Vite Flores,Huejutla - Salohuiyaplan Kilómetro 107,Colonia,Urbana,Edificación,Secretaría de Comunicaciones y Transportes.
127,13,Hidalgo,Áreas en Fracciónamiento Las Palomitas,Circuito Palomitas,Rancho,Urbana,Terreno,Baldío
128,13,Hidalgo,Predio Rústico La Tentación,Pablo Anaya,Rancho,Rústica,Edificación,"Oficinas de la Coordinación Regional, Dirección General de Seguridad Pública, Vivero, Parque de Materiales"
129,13,Hidalgo,Predio Rústico El Tepoxteco,Domicilio conocido,Ranchería,Rústica,Terreno,Secundaria Oficial número 3
130,13,Hidalgo,Predio Cuatamaya,Domicilio conocido,Barrio,Rústica,Terreno,Adquirido para la construcción de un CECYTH
131,13,Hidalgo,Predio Rústico El Moreno,Domicilio conocido,Ranchería,Rústica,Terreno,Habitacional
132,13,Hidalgo,La Guera,Domicilio conocido,Exhacienda,Rústica,Terreno,Baldío
133,13,Hidalgo,Una fracción de un Predio Rústico en la Extinguida Hacienda de El Tepoxteco,Domicilio conocido,Exhacienda,Rústica,Terreno,Baldío
134,13,Hidalgo,Manantial Predio El Tagui,Fracciónamiento Pathesito,Barrio,Rústica,Terreno,Área de Manantial
135,13,Hidalgo,Predio Urbano La Esperanza,Domicilio conocido,Barrio,Urbana,Terreno,Secundaria Técnica número 3
